総合評価,買価,メンテ費用,ドア数,定員,安全性
1,0,0,0,0,0
1,0,0,0,0,0.6
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0.6
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0.6
1,0,0,0,0,1
1,0,0,0,0.8,0
1,0,0,0,0.8,0.6
1,0,0,0,0.8,1
1,0,0,0,0.8,0
1,0,0,0,0.8,0.6
1,0,0,0,0.8,1
1,0,0,0,0.8,0
1,0,0,0,0.8,0.6
1,0,0,0,0.8,1
1,0,0,0,1,0
1,0,0,0,1,0.6
1,0,0,0,1,1
1,0,0,0,1,0
1,0,0,0,1,0.6
1,0,0,0,1,1
1,0,0,0,1,0
1,0,0,0,1,0.6
1,0,0,0,1,1
1,0,0,0.7,0,0
1,0,0,0.7,0,0.6
1,0,0,0.7,0,1
1,0,0,0.7,0,0
1,0,0,0.7,0,0.6
1,0,0,0.7,0,1
1,0,0,0.7,0,0
1,0,0,0.7,0,0.6
1,0,0,0.7,0,1
1,0,0,0.7,0.8,0
1,0,0,0.7,0.8,0.6
1,0,0,0.7,0.8,1
1,0,0,0.7,0.8,0
1,0,0,0.7,0.8,0.6
1,0,0,0.7,0.8,1
1,0,0,0.7,0.8,0
1,0,0,0.7,0.8,0.6
1,0,0,0.7,0.8,1
1,0,0,0.7,1,0
1,0,0,0.7,1,0.6
1,0,0,0.7,1,1
1,0,0,0.7,1,0
1,0,0,0.7,1,0.6
1,0,0,0.7,1,1
1,0,0,0.7,1,0
1,0,0,0.7,1,0.6
1,0,0,0.7,1,1
1,0,0,0.9,0,0
1,0,0,0.9,0,0.6
1,0,0,0.9,0,1
1,0,0,0.9,0,0
1,0,0,0.9,0,0.6
1,0,0,0.9,0,1
1,0,0,0.9,0,0
1,0,0,0.9,0,0.6
1,0,0,0.9,0,1
1,0,0,0.9,0.8,0
1,0,0,0.9,0.8,0.6
1,0,0,0.9,0.8,1
1,0,0,0.9,0.8,0
1,0,0,0.9,0.8,0.6
1,0,0,0.9,0.8,1
1,0,0,0.9,0.8,0
1,0,0,0.9,0.8,0.6
1,0,0,0.9,0.8,1
1,0,0,0.9,1,0
1,0,0,0.9,1,0.6
1,0,0,0.9,1,1
1,0,0,0.9,1,0
1,0,0,0.9,1,0.6
1,0,0,0.9,1,1
1,0,0,0.9,1,0
1,0,0,0.9,1,0.6
