,Rk,Age,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X2PA,X2P.,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Fvot,FRank,Score
0,170,24,22,0,7.4,0.8,1.9,0.405,0.2,0.5,1.5,0.375,0.4,0.9,0.4,1.3,1.6,0.2,0.0,0.6,0.5,1.0,2.2,786,123,83.5
1,58,32,65,0,13.8,1.9,4.6,0.40299999999999997,0.7,2.0,2.6,0.424,0.5,0.6,0.3,0.8,1.1,1.9,0.4,0.1,1.0,1.4,5.0,2474,64,48.2
2,157,21,80,72,28.7,4.9,10.8,0.45399999999999996,1.0,3.3,7.5,0.528,2.0,2.7,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7,22774,29,40.0
3,352,25,18,0,7.5,1.3,3.0,0.426,0.2,0.8,2.2,0.513,0.8,1.1,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,3.5,861,120,75.5
4,10,26,61,25,29.1,3.0,7.6,0.39299999999999996,1.1,3.5,4.2,0.445,1.6,2.2,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7,4971,69,42.8
5,203,30,68,68,32.3,5.6,11.8,0.473,1.3,3.6,8.2,0.524,1.6,2.0,1.4,5.4,6.8,5.0,0.8,1.3,1.7,2.0,14.0,12219,14,12.5
6,221,32,66,1,14.1,3.6,7.1,0.499,0.0,0.0,7.1,0.5,1.0,1.3,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,8.1,2936,84,60.0
7,12,34,30,0,10.3,1.0,2.7,0.375,0.5,1.5,1.2,0.444,0.4,0.5,0.1,0.7,0.8,0.4,0.1,0.0,0.2,1.2,2.9,3096,88,59.5
8,464,24,47,0,15.1,2.9,5.7,0.517,0.0,0.0,5.7,0.519,1.5,2.4,2.0,4.2,6.2,0.5,0.6,0.7,0.8,2.7,7.4,607,127,85.5
9,65,25,42,0,15.5,2.4,5.9,0.39899999999999997,0.6,1.8,4.1,0.43,1.4,1.9,0.4,2.5,2.9,0.7,0.4,0.1,0.8,1.2,6.7,1981,72,53.0
10,1,23,68,6,15.5,2.0,5.0,0.39299999999999996,1.4,3.6,1.4,0.426,0.6,0.7,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,6.0,16299,34,27.5
11,260,23,77,34,20.3,3.0,6.0,0.49700000000000005,0.0,0.2,5.9,0.503,1.9,2.7,2.0,4.6,6.6,0.6,0.5,1.3,1.3,3.1,8.0,1297,109,70.0
12,5,28,39,15,15.0,2.3,4.6,0.5,0.0,0.1,4.5,0.511,0.7,1.0,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2.0,5.3,3884,80,62.0
13,92,24,79,7,28.5,3.8,8.2,0.46799999999999997,1.7,3.8,4.4,0.49,1.3,1.6,0.2,2.6,2.9,1.2,0.7,0.3,0.8,2.2,10.7,246,65,49.5
14,149,29,13,0,6.8,0.2,1.1,0.214,0.0,0.2,0.8,0.273,0.4,0.7,0.3,0.8,1.2,0.5,0.4,0.1,0.3,1.1,0.8,614,126,85.0
15,226,29,80,77,20.1,2.7,4.6,0.5760000000000001,0.3,0.8,3.8,0.612,0.8,1.3,1.5,3.1,4.6,1.8,0.6,0.8,1.0,2.6,6.5,7916,54,45.0
16,443,34,14,1,6.6,0.4,1.0,0.35700000000000004,0.0,0.0,1.0,0.35700000000000004,0.6,0.8,0.9,1.1,1.9,0.7,0.2,0.2,0.6,1.1,1.3,1724,40,42.0
17,115,23,81,81,29.7,6.0,11.2,0.53,0.0,0.1,11.2,0.532,1.7,4.4,4.3,9.5,13.8,1.1,1.5,1.1,1.9,2.9,13.6,100797,15,11.8
18,211,33,76,0,26.3,2.9,5.5,0.528,0.8,2.3,3.1,0.6509999999999999,0.9,1.3,0.7,3.3,4.0,3.4,1.0,0.5,0.8,1.3,7.6,290271,9,11.5
19,377,25,79,79,30.1,2.7,5.9,0.46399999999999997,0.6,2.3,3.5,0.609,0.6,1.4,1.2,3.9,5.1,1.0,1.2,1.0,0.6,2.6,6.6,17977,38,29.2
20,51,32,27,21,21.6,1.4,3.0,0.469,0.0,0.0,3.0,0.475,0.1,0.4,2.1,6.0,8.1,1.8,0.5,0.9,1.6,3.2,2.9,114,49,34.8
21,182,22,72,18,20.5,1.6,5.0,0.325,0.6,2.2,2.8,0.363,2.1,2.7,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,5.9,1172,84,59.0
22,327,27,38,0,9.0,1.1,2.9,0.387,0.1,0.7,2.2,0.452,0.2,0.4,0.4,1.2,1.6,0.3,0.4,0.2,0.4,1.4,2.6,529,127,89.0
